operator_id,workflow_id,stage_id,observations,provisional_fit_demo,status,synthetic
op_012,software_dev_v1,review,4,0.53,SYNTHETIC_PROVISIONAL,True
op_012,software_dev_v1,implementation,15,0.674,SYNTHETIC_PROVISIONAL,True
op_012,software_dev_v1,release,5,0.597,SYNTHETIC_PROVISIONAL,True
op_012,software_dev_v1,architecture,9,0.573,SYNTHETIC_PROVISIONAL,True
op_013,software_dev_v1,testing,6,0.541,SYNTHETIC_PROVISIONAL,True
op_013,software_dev_v1,architecture,17,0.422,SYNTHETIC_PROVISIONAL,True
op_013,software_dev_v1,review,12,0.509,SYNTHETIC_PROVISIONAL,True
op_013,software_dev_v1,discovery,10,0.397,SYNTHETIC_PROVISIONAL,True
op_013,software_dev_v1,requirements,11,0.663,SYNTHETIC_PROVISIONAL,True
op_013,software_dev_v1,implementation,18,0.397,SYNTHETIC_PROVISIONAL,True
op_014,software_dev_v1,requirements,17,0.69,SYNTHETIC_PROVISIONAL,True
op_014,software_dev_v1,implementation,8,0.464,SYNTHETIC_PROVISIONAL,True
op_014,software_dev_v1,discovery,17,0.736,SYNTHETIC_PROVISIONAL,True
op_014,software_dev_v1,architecture,12,0.621,SYNTHETIC_PROVISIONAL,True
op_015,software_dev_v1,review,13,0.821,SYNTHETIC_PROVISIONAL,True
op_015,software_dev_v1,architecture,9,0.864,SYNTHETIC_PROVISIONAL,True
op_015,software_dev_v1,discovery,18,0.928,SYNTHETIC_PROVISIONAL,True
op_016,software_dev_v1,review,6,0.929,SYNTHETIC_PROVISIONAL,True
op_016,software_dev_v1,testing,16,0.851,SYNTHETIC_PROVISIONAL,True
op_016,software_dev_v1,requirements,10,0.689,SYNTHETIC_PROVISIONAL,True
op_016,software_dev_v1,discovery,8,0.563,SYNTHETIC_PROVISIONAL,True
op_017,software_dev_v1,release,13,0.646,SYNTHETIC_PROVISIONAL,True
op_017,software_dev_v1,architecture,11,0.79,SYNTHETIC_PROVISIONAL,True
op_017,software_dev_v1,discovery,9,0.757,SYNTHETIC_PROVISIONAL,True
op_017,software_dev_v1,requirements,17,0.606,SYNTHETIC_PROVISIONAL,True
op_018,software_dev_v1,discovery,6,0.553,SYNTHETIC_PROVISIONAL,True
op_018,software_dev_v1,architecture,18,0.557,SYNTHETIC_PROVISIONAL,True
op_018,software_dev_v1,release,11,0.604,SYNTHETIC_PROVISIONAL,True
op_018,software_dev_v1,requirements,12,0.619,SYNTHETIC_PROVISIONAL,True
op_019,software_dev_v1,review,17,0.98,SYNTHETIC_PROVISIONAL,True
op_019,software_dev_v1,implementation,16,0.643,SYNTHETIC_PROVISIONAL,True
op_019,software_dev_v1,requirements,8,0.818,SYNTHETIC_PROVISIONAL,True
op_020,software_dev_v1,release,16,0.468,SYNTHETIC_PROVISIONAL,True
op_020,software_dev_v1,testing,11,0.534,SYNTHETIC_PROVISIONAL,True
op_020,software_dev_v1,architecture,12,0.666,SYNTHETIC_PROVISIONAL,True
op_020,software_dev_v1,requirements,5,0.711,SYNTHETIC_PROVISIONAL,True
op_020,software_dev_v1,discovery,7,0.477,SYNTHETIC_PROVISIONAL,True
op_021,software_dev_v1,testing,14,0.677,SYNTHETIC_PROVISIONAL,True
op_021,software_dev_v1,review,17,0.811,SYNTHETIC_PROVISIONAL,True
op_021,software_dev_v1,discovery,8,0.436,SYNTHETIC_PROVISIONAL,True
op_021,software_dev_v1,implementation,4,0.417,SYNTHETIC_PROVISIONAL,True
op_022,software_dev_v1,review,6,0.578,SYNTHETIC_PROVISIONAL,True
op_022,software_dev_v1,implementation,5,0.664,SYNTHETIC_PROVISIONAL,True
op_022,software_dev_v1,requirements,16,0.578,SYNTHETIC_PROVISIONAL,True
op_022,software_dev_v1,release,11,0.701,SYNTHETIC_PROVISIONAL,True
op_023,software_dev_v1,release,16,0.511,SYNTHETIC_PROVISIONAL,True
op_023,software_dev_v1,testing,14,0.737,SYNTHETIC_PROVISIONAL,True
op_023,software_dev_v1,requirements,18,0.812,SYNTHETIC_PROVISIONAL,True
op_023,software_dev_v1,architecture,10,0.615,SYNTHETIC_PROVISIONAL,True
op_023,software_dev_v1,review,12,0.493,SYNTHETIC_PROVISIONAL,True
op_024,software_dev_v1,requirements,16,0.744,SYNTHETIC_PROVISIONAL,True
op_024,software_dev_v1,discovery,11,0.98,SYNTHETIC_PROVISIONAL,True
op_024,software_dev_v1,release,11,0.825,SYNTHETIC_PROVISIONAL,True
op_024,software_dev_v1,review,18,0.872,SYNTHETIC_PROVISIONAL,True
op_024,software_dev_v1,implementation,14,0.552,SYNTHETIC_PROVISIONAL,True
op_024,software_dev_v1,testing,17,0.833,SYNTHETIC_PROVISIONAL,True
op_025,software_dev_v1,discovery,4,0.722,SYNTHETIC_PROVISIONAL,True
op_025,software_dev_v1,architecture,5,0.754,SYNTHETIC_PROVISIONAL,True
op_025,software_dev_v1,implementation,12,0.98,SYNTHETIC_PROVISIONAL,True
op_025,software_dev_v1,requirements,4,0.557,SYNTHETIC_PROVISIONAL,True
op_025,software_dev_v1,testing,11,0.527,SYNTHETIC_PROVISIONAL,True
op_026,software_dev_v1,review,10,0.653,SYNTHETIC_PROVISIONAL,True
op_026,software_dev_v1,requirements,6,0.606,SYNTHETIC_PROVISIONAL,True
op_026,software_dev_v1,implementation,13,0.288,SYNTHETIC_PROVISIONAL,True
op_026,software_dev_v1,release,14,0.615,SYNTHETIC_PROVISIONAL,True
op_026,software_dev_v1,testing,6,0.646,SYNTHETIC_PROVISIONAL,True
op_026,software_dev_v1,architecture,11,0.555,SYNTHETIC_PROVISIONAL,True
op_027,software_dev_v1,requirements,7,0.628,SYNTHETIC_PROVISIONAL,True
op_027,software_dev_v1,discovery,8,0.622,SYNTHETIC_PROVISIONAL,True
op_027,software_dev_v1,release,5,0.5,SYNTHETIC_PROVISIONAL,True
op_028,software_dev_v1,discovery,11,0.485,SYNTHETIC_PROVISIONAL,True
op_028,software_dev_v1,requirements,15,0.516,SYNTHETIC_PROVISIONAL,True
op_028,software_dev_v1,release,4,0.466,SYNTHETIC_PROVISIONAL,True
op_028,software_dev_v1,implementation,5,0.659,SYNTHETIC_PROVISIONAL,True
op_028,software_dev_v1,review,5,0.642,SYNTHETIC_PROVISIONAL,True
op_029,software_dev_v1,testing,13,0.91,SYNTHETIC_PROVISIONAL,True
op_029,software_dev_v1,architecture,7,0.755,SYNTHETIC_PROVISIONAL,True
op_029,software_dev_v1,discovery,16,0.605,SYNTHETIC_PROVISIONAL,True
op_029,software_dev_v1,implementation,4,0.652,SYNTHETIC_PROVISIONAL,True
op_030,software_dev_v1,implementation,4,0.823,SYNTHETIC_PROVISIONAL,True
op_030,software_dev_v1,review,18,0.671,SYNTHETIC_PROVISIONAL,True
op_030,software_dev_v1,testing,10,0.837,SYNTHETIC_PROVISIONAL,True
op_031,software_dev_v1,requirements,7,0.595,SYNTHETIC_PROVISIONAL,True
op_031,software_dev_v1,release,14,0.558,SYNTHETIC_PROVISIONAL,True
op_031,software_dev_v1,architecture,8,0.452,SYNTHETIC_PROVISIONAL,True
op_031,software_dev_v1,review,11,0.41,SYNTHETIC_PROVISIONAL,True
op_031,software_dev_v1,implementation,13,0.881,SYNTHETIC_PROVISIONAL,True
op_031,software_dev_v1,discovery,16,0.805,SYNTHETIC_PROVISIONAL,True
op_032,software_dev_v1,architecture,17,0.585,SYNTHETIC_PROVISIONAL,True
op_032,software_dev_v1,discovery,8,0.874,SYNTHETIC_PROVISIONAL,True
op_032,software_dev_v1,testing,16,0.474,SYNTHETIC_PROVISIONAL,True
op_033,software_dev_v1,review,5,0.58,SYNTHETIC_PROVISIONAL,True
op_033,software_dev_v1,release,8,0.737,SYNTHETIC_PROVISIONAL,True
op_033,software_dev_v1,discovery,13,0.639,SYNTHETIC_PROVISIONAL,True
op_033,software_dev_v1,requirements,11,0.533,SYNTHETIC_PROVISIONAL,True
op_033,software_dev_v1,architecture,8,0.757,SYNTHETIC_PROVISIONAL,True
op_034,software_dev_v1,testing,13,0.634,SYNTHETIC_PROVISIONAL,True
op_034,software_dev_v1,review,11,0.962,SYNTHETIC_PROVISIONAL,True
op_034,software_dev_v1,architecture,11,0.536,SYNTHETIC_PROVISIONAL,True
op_034,software_dev_v1,release,9,0.748,SYNTHETIC_PROVISIONAL,True
op_034,software_dev_v1,requirements,15,0.828,SYNTHETIC_PROVISIONAL,True
op_035,software_dev_v1,review,4,0.564,SYNTHETIC_PROVISIONAL,True
op_035,software_dev_v1,discovery,16,0.836,SYNTHETIC_PROVISIONAL,True
op_035,software_dev_v1,testing,16,0.457,SYNTHETIC_PROVISIONAL,True
op_035,software_dev_v1,implementation,8,0.814,SYNTHETIC_PROVISIONAL,True
op_036,software_dev_v1,release,17,0.52,SYNTHETIC_PROVISIONAL,True
op_036,software_dev_v1,architecture,9,0.45,SYNTHETIC_PROVISIONAL,True
op_036,software_dev_v1,testing,13,0.567,SYNTHETIC_PROVISIONAL,True
op_036,software_dev_v1,requirements,15,0.575,SYNTHETIC_PROVISIONAL,True
op_036,software_dev_v1,review,5,0.483,SYNTHETIC_PROVISIONAL,True
op_037,software_dev_v1,release,11,0.645,SYNTHETIC_PROVISIONAL,True
op_037,software_dev_v1,review,4,0.638,SYNTHETIC_PROVISIONAL,True
op_037,software_dev_v1,testing,5,0.512,SYNTHETIC_PROVISIONAL,True
op_037,software_dev_v1,implementation,9,0.893,SYNTHETIC_PROVISIONAL,True
op_038,software_dev_v1,implementation,15,0.98,SYNTHETIC_PROVISIONAL,True
op_038,software_dev_v1,review,13,0.739,SYNTHETIC_PROVISIONAL,True
op_038,software_dev_v1,release,17,0.761,SYNTHETIC_PROVISIONAL,True
op_038,software_dev_v1,discovery,8,0.583,SYNTHETIC_PROVISIONAL,True
op_038,software_dev_v1,testing,12,0.413,SYNTHETIC_PROVISIONAL,True
op_038,software_dev_v1,architecture,6,0.824,SYNTHETIC_PROVISIONAL,True
op_039,software_dev_v1,implementation,15,0.725,SYNTHETIC_PROVISIONAL,True
op_039,software_dev_v1,architecture,6,0.636,SYNTHETIC_PROVISIONAL,True
op_039,software_dev_v1,release,5,0.522,SYNTHETIC_PROVISIONAL,True
op_039,software_dev_v1,testing,9,0.51,SYNTHETIC_PROVISIONAL,True
op_040,software_dev_v1,testing,17,0.488,SYNTHETIC_PROVISIONAL,True
op_040,software_dev_v1,implementation,13,0.98,SYNTHETIC_PROVISIONAL,True
op_040,software_dev_v1,review,7,0.607,SYNTHETIC_PROVISIONAL,True
op_040,software_dev_v1,release,10,0.721,SYNTHETIC_PROVISIONAL,True
op_040,software_dev_v1,discovery,10,0.589,SYNTHETIC_PROVISIONAL,True
op_041,software_dev_v1,implementation,17,0.566,SYNTHETIC_PROVISIONAL,True
op_041,software_dev_v1,discovery,8,0.849,SYNTHETIC_PROVISIONAL,True
op_041,software_dev_v1,architecture,18,0.594,SYNTHETIC_PROVISIONAL,True
op_042,software_dev_v1,release,17,0.662,SYNTHETIC_PROVISIONAL,True
op_042,software_dev_v1,requirements,18,0.739,SYNTHETIC_PROVISIONAL,True
op_042,software_dev_v1,review,13,0.501,SYNTHETIC_PROVISIONAL,True
op_042,software_dev_v1,implementation,18,0.98,SYNTHETIC_PROVISIONAL,True
op_042,software_dev_v1,testing,15,0.713,SYNTHETIC_PROVISIONAL,True
op_043,software_dev_v1,testing,11,0.557,SYNTHETIC_PROVISIONAL,True
op_043,software_dev_v1,architecture,6,0.98,SYNTHETIC_PROVISIONAL,True
op_043,software_dev_v1,implementation,12,0.98,SYNTHETIC_PROVISIONAL,True
op_043,software_dev_v1,review,18,0.7,SYNTHETIC_PROVISIONAL,True
op_043,software_dev_v1,release,15,0.634,SYNTHETIC_PROVISIONAL,True
op_043,software_dev_v1,discovery,14,0.795,SYNTHETIC_PROVISIONAL,True
op_044,software_dev_v1,architecture,16,0.816,SYNTHETIC_PROVISIONAL,True
op_044,software_dev_v1,testing,4,0.537,SYNTHETIC_PROVISIONAL,True
op_044,software_dev_v1,implementation,12,0.98,SYNTHETIC_PROVISIONAL,True
op_044,software_dev_v1,discovery,9,0.73,SYNTHETIC_PROVISIONAL,True
op_044,software_dev_v1,release,5,0.834,SYNTHETIC_PROVISIONAL,True
op_045,software_dev_v1,requirements,16,0.477,SYNTHETIC_PROVISIONAL,True
op_045,software_dev_v1,discovery,9,0.608,SYNTHETIC_PROVISIONAL,True
op_045,software_dev_v1,release,14,0.674,SYNTHETIC_PROVISIONAL,True
op_046,software_dev_v1,requirements,8,0.35,SYNTHETIC_PROVISIONAL,True
op_046,software_dev_v1,review,7,0.6,SYNTHETIC_PROVISIONAL,True
op_046,software_dev_v1,release,17,0.465,SYNTHETIC_PROVISIONAL,True
op_046,software_dev_v1,discovery,5,0.738,SYNTHETIC_PROVISIONAL,True
op_046,software_dev_v1,testing,5,0.527,SYNTHETIC_PROVISIONAL,True
op_046,software_dev_v1,architecture,16,0.603,SYNTHETIC_PROVISIONAL,True
op_047,software_dev_v1,implementation,8,0.596,SYNTHETIC_PROVISIONAL,True
op_047,software_dev_v1,testing,5,0.756,SYNTHETIC_PROVISIONAL,True
op_047,software_dev_v1,review,18,0.548,SYNTHETIC_PROVISIONAL,True
op_047,software_dev_v1,requirements,7,0.593,SYNTHETIC_PROVISIONAL,True
op_047,software_dev_v1,discovery,10,0.501,SYNTHETIC_PROVISIONAL,True
op_048,software_dev_v1,discovery,7,0.676,SYNTHETIC_PROVISIONAL,True
op_048,software_dev_v1,implementation,18,0.755,SYNTHETIC_PROVISIONAL,True
op_048,software_dev_v1,testing,17,0.647,SYNTHETIC_PROVISIONAL,True
op_048,software_dev_v1,requirements,5,0.777,SYNTHETIC_PROVISIONAL,True
op_048,software_dev_v1,release,6,0.483,SYNTHETIC_PROVISIONAL,True
op_049,software_dev_v1,architecture,17,0.779,SYNTHETIC_PROVISIONAL,True
op_049,software_dev_v1,implementation,9,0.98,SYNTHETIC_PROVISIONAL,True
op_049,software_dev_v1,release,18,0.69,SYNTHETIC_PROVISIONAL,True
op_050,software_dev_v1,architecture,4,0.897,SYNTHETIC_PROVISIONAL,True
op_050,software_dev_v1,testing,18,0.696,SYNTHETIC_PROVISIONAL,True
op_050,software_dev_v1,requirements,18,0.588,SYNTHETIC_PROVISIONAL,True
