operator_id,pseudonym,team,role_family,level,pattern_demo,primary_platform,synthetic,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,usage_tokens_demo,total_token_flow_demo,leverage,yield,token_snr,construction,output_input_ratio_internal,usage_percentile_demo,yield_percentile_demo,leverage_percentile_demo,usage_yield_divergence_pp,divergence_class
op_018,Operator 018,Product Engineering,Software Engineering,Mid,high_volume_burner,codex,True,991606,196621,3368473,2773153,1188227,7329853,3.397,0.6736,0.1655,0.8233,0.1983,100.0,4.1,2.0,-95.9,HIGH_USAGE_LOW_OPERATION
op_019,Operator 019,Platform / Infrastructure,Infrastructure Engineering,Mid,efficient_minimalist,chatgpt,True,99239,66815,1791327,2713376,166054,4670757,18.0506,12.153,0.4024,1.5147,0.6733,8.2,85.7,67.3,77.6,LOW_USAGE_HIGH_OPERATION
op_020,Operator 020,Platform / Infrastructure,Infrastructure Engineering,Associate,high_volume_burner,claude,True,912011,184657,3180897,2563956,1096668,6841521,3.4878,0.7062,0.1684,0.806,0.2025,95.9,8.2,6.1,-87.8,HIGH_USAGE_LOW_OPERATION
op_021,Operator 021,Platform / Infrastructure,Infrastructure Engineering,Senior,high_volume_burner,codex,True,864873,168128,2995271,2426814,1033001,6455086,3.4632,0.6732,0.1628,0.8102,0.1944,93.9,2.0,4.1,-91.8,HIGH_USAGE_LOW_OPERATION
op_022,Operator 022,Platform / Infrastructure,Infrastructure Engineering,Mid,declining_operator,claude,True,279659,151872,3374596,6611429,431531,10417556,12.0668,6.553,0.3519,1.9592,0.5431,65.3,59.2,46.9,-6.1,MIXED
op_023,Operator 023,Platform / Infrastructure,Infrastructure Engineering,Mid,improving_operator,claude,True,217575,99097,2715472,3376361,316672,6408505,12.4806,5.6844,0.3129,1.2434,0.4555,34.7,32.7,61.2,-2.0,LOW_LOW
op_024,Operator 024,Platform / Infrastructure,Infrastructure Engineering,Associate,balanced_operator,chatgpt,True,266351,130746,3260616,5588832,397097,9246545,12.2418,6.0092,0.3293,1.714,0.4909,63.3,51.0,55.1,-12.2,MIXED
op_025,Operator 025,Platform / Infrastructure,Infrastructure Engineering,Mid,context_compounder,claude,True,154078,57590,3600467,10139067,211668,13951202,23.3678,8.7342,0.2721,2.816,0.3738,10.2,63.3,73.5,53.1,MIXED
op_026,Operator 026,Platform / Infrastructure,Infrastructure Engineering,Staff,high_volume_burner,codex,True,670454,136471,2351344,1760996,806925,4919265,3.5071,0.7139,0.1691,0.7489,0.2036,89.8,10.2,8.2,-79.6,HIGH_USAGE_LOW_OPERATION
op_027,Operator 027,Platform / Infrastructure,Infrastructure Engineering,Mid,context_compounder,chatgpt,True,170460,65731,4218783,11864739,236191,16319713,24.7494,9.5436,0.2783,2.8124,0.3856,14.3,75.5,85.7,61.2,LOW_USAGE_HIGH_OPERATION
op_028,Operator 028,Platform / Infrastructure,Infrastructure Engineering,Senior,improving_operator,claude,True,234295,103409,2794064,3240780,337704,6372548,11.9254,5.2634,0.3062,1.1599,0.4414,44.9,14.3,42.9,-30.6,MIXED
op_029,Operator 029,Data / Analytics,Data / Analytics,Associate,balanced_operator,chatgpt,True,244801,124234,2854817,5357724,369035,8581576,11.6618,5.9182,0.3366,1.8767,0.5075,57.1,42.9,36.7,-14.3,MIXED
op_030,Operator 030,Data / Analytics,Data / Analytics,Mid,balanced_operator,chatgpt,True,252354,127414,3042509,5269762,379768,8692039,12.0565,6.0874,0.3355,1.732,0.5049,59.2,53.1,44.9,-6.1,MIXED
op_031,Operator 031,Data / Analytics,Data / Analytics,Associate,kinetic_generator,claude,True,263333,295178,1346303,1209785,558511,3114599,5.1125,5.7308,0.5285,0.8986,1.1209,79.6,38.8,22.4,-40.8,MIXED
op_032,Operator 032,Data / Analytics,Data / Analytics,Senior,kinetic_generator,codex,True,283696,321392,1434666,1273025,605088,3312779,5.0571,5.729,0.5311,0.8873,1.1329,85.7,36.7,20.4,-49.0,MIXED
op_033,Operator 033,Data / Analytics,Data / Analytics,Associate,recursive_builder,chatgpt,True,196524,108050,5989253,24761948,304574,31055775,30.4759,16.7558,0.3548,4.1344,0.5498,30.6,100.0,100.0,69.4,LOW_USAGE_HIGH_OPERATION
op_034,Operator 034,Data / Analytics,Data / Analytics,Staff,efficient_minimalist,codex,True,89611,57003,1648214,2483613,146614,4278441,18.393,11.7001,0.3888,1.5069,0.6361,2.0,81.6,71.4,79.6,LOW_USAGE_HIGH_OPERATION
op_035,Operator 035,Data / Analytics,Data / Analytics,Associate,volatile_switcher,claude,True,349568,191532,3480223,6199098,541100,10220421,9.9558,5.4549,0.354,1.7812,0.5479,71.4,22.4,28.6,-49.0,HIGH_USAGE_LOW_OPERATION
op_036,Operator 036,Data / Analytics,Data / Analytics,Staff,kinetic_generator,codex,True,245780,287698,1225780,1069712,533478,2828970,4.9873,5.8379,0.5393,0.8727,1.1706,69.4,40.8,18.4,-28.6,MIXED
op_037,Operator 037,Product / Design,Product / Design,Mid,kinetic_generator,codex,True,244733,283664,1208075,1041357,528397,2777829,4.9363,5.7215,0.5368,0.862,1.1591,67.3,34.7,16.3,-32.7,MIXED
op_038,Operator 038,Product / Design,Product / Design,Mid,recursive_builder,chatgpt,True,213877,117165,6308231,25737884,331042,32377157,29.4947,16.1576,0.3539,4.08,0.5478,40.8,93.9,91.8,53.1,MIXED
op_039,Operator 039,Product / Design,Product / Design,Associate,kinetic_generator,claude,True,304751,350499,1461175,1344032,655250,3460457,4.7947,5.5144,0.5349,0.9198,1.1501,87.8,26.5,12.2,-61.2,HIGH_USAGE_LOW_OPERATION
op_040,Operator 040,Product / Design,Product / Design,Staff,recursive_builder,codex,True,222368,121360,6676496,28356927,343728,35377151,30.0245,16.3863,0.3531,4.2473,0.5458,49.0,98.0,98.0,49.0,MIXED
op_041,Operator 041,Product / Design,Product / Design,Associate,volatile_switcher,codex,True,357683,190280,3659216,6451076,547963,10658255,10.2303,5.4423,0.3472,1.763,0.532,77.6,20.4,32.7,-57.1,HIGH_USAGE_LOW_OPERATION
op_042,Operator 042,Product / Design,Product / Design,Associate,kinetic_generator,codex,True,254696,286601,1239262,1144305,541297,2924864,4.8657,5.4752,0.5295,0.9234,1.1253,73.5,24.5,14.3,-49.0,HIGH_USAGE_LOW_OPERATION
op_043,Operator 043,Customer Engineering / Support,Customer Engineering,Associate,recursive_builder,chatgpt,True,191357,104537,5355457,21544884,295894,27196235,27.9867,15.289,0.3533,4.023,0.5463,26.5,87.8,87.8,61.2,LOW_USAGE_HIGH_OPERATION
op_044,Operator 044,Customer Engineering / Support,Customer Engineering,Staff,recursive_builder,codex,True,220872,117067,6519915,26211645,337939,33069499,29.519,15.6457,0.3464,4.0202,0.53,46.9,89.8,93.9,42.9,MIXED
op_045,Operator 045,Customer Engineering / Support,Customer Engineering,Associate,context_compounder,claude,True,175997,68557,4138505,11585786,244554,15968845,23.5146,9.1598,0.2803,2.7995,0.3895,20.4,69.4,75.5,49.0,MIXED
op_046,Operator 046,Customer Engineering / Support,Customer Engineering,Associate,volatile_switcher,claude,True,376869,207873,3713490,6913041,584742,11211273,9.8535,5.435,0.3555,1.8616,0.5516,81.6,18.4,24.5,-63.3,HIGH_USAGE_LOW_OPERATION
op_047,Operator 047,Operations / GTM,Operations / GTM,Associate,declining_operator,chatgpt,True,227565,124846,2768053,5384261,352411,8504725,12.1638,6.6733,0.3543,1.9451,0.5486,55.1,61.2,49.0,6.1,MIXED
op_048,Operator 048,Operations / GTM,Operations / GTM,Mid,improving_operator,chatgpt,True,220977,100059,2729141,3238494,321036,6288671,12.3503,5.5923,0.3117,1.1866,0.4528,36.7,28.6,59.2,-8.2,MIXED
op_049,Operator 049,Operations / GTM,Operations / GTM,Senior,recursive_builder,chatgpt,True,211031,114993,6265013,26109103,326024,32700140,29.6876,16.1771,0.3527,4.1674,0.5449,38.8,95.9,95.9,57.1,MIXED
op_050,Operator 050,Operations / GTM,Operations / GTM,Staff,context_compounder,codex,True,172075,65928,4128591,11549623,238003,15916217,23.993,9.1926,0.277,2.7975,0.3831,16.3,73.5,81.6,57.1,LOW_USAGE_HIGH_OPERATION
